DATE;REGION;AREA;TEMP
2020-01-01;Адыгея;2;2.999999999999999
2020-01-01;Алтай;4;-10.11111111111111
2020-01-01;Алтайский край;4;-3.868055555555556
2020-01-01;Амурская обл.;7;-22.010101010101014
2020-01-01;Архангельская обл.;6;-6.760942760942763
2020-01-01;Астраханская обл.;2;3.3148148148148144
2020-01-01;Башкортостан;5;-2.6111111111111116
2020-01-01;Белгородская обл.;1;0.29629629629629656
2020-01-01;Брянская обл.;1;-0.5694444444444446
2020-01-01;Бурятия;4;-25.40740740740741
2020-01-01;Владимирская обл.;1;-2.6388888888888893
2020-01-01;Волгоградская обл.;2;0.6785714285714289
2020-01-01;Вологодская обл.;1;-5.209876543209877
2020-01-01;Воронежская обл.;1;0.4791666666666668
2020-01-01;Дагестан;2;2.769841269841271
2020-01-01;Еврейская АО;7;-17.51851851851852
2020-01-01;Забайкальский край;4;-29.58730158730159
2020-01-01;Ивановская обл.;1;-3.6944444444444446
2020-01-01;Иркутская обл.;4;-23.892361111111114
2020-01-01;Кабардино-Балкария;2;2.1111111111111116
2020-01-01;Калининградская обл.;6;4.555555555555557
2020-01-01;Калмыкия;2;3.388888888888889
2020-01-01;Калужская обл.;1;-1.3611111111111112
2020-01-01;Камчатский край;7;-2.4642857142857144
2020-01-01;Карачаево-Черкессия;2;-1.1111111111111112
2020-01-01;Карелия;6;-5.575757575757577
2020-01-01;Кемеровская обл.;4;-5.208333333333333
2020-01-01;Кировская обл.;5;-5.451388888888889
2020-01-01;Коми;6;-7.911764705882353
2020-01-01;Костромская обл.;1;-5.2592592592592595
2020-01-01;Краснодарский край;4;4.347222222222221
2020-01-01;Красноярский край;7;-14.136752136752134
2020-01-01;Крым;2;3.9814814814814805
2020-01-01;Курганская обл.;5;-4.5740740740740735
2020-01-01;Курская обл.;1;-0.574074074074075
2020-01-01;Ленинградская обл.;6;-1.689814814814815
2020-01-01;Липецкая обл.;1;-0.44444444444444486
2020-01-01;Магаданская обл.;7;-21.75
2020-01-01;Марий Эл;3;-3.3148148148148144
2020-01-01;Мордовия;3;-2.2222222222222223
2020-01-01;Москва;1;-1.2962962962962963
2020-01-01;Московская обл.;1;-1.5158730158730154
2020-01-01;Мурманская обл.;6;-13.222222222222221
2020-01-01;Ненецкий АО;6;-10.493055555555554
2020-01-01;Нижегородская обл.;3;-3.197530864197531
2020-01-01;Новгородская обл.;6;-0.9861111111111114
2020-01-01;Новосибирская обл.;4;-6.701388888888889
2020-01-01;Омская обл.;4;-6.777777777777778
2020-01-01;Оренбургская обл.;5;-1.4047619047619047
2020-01-01;Орловская обл.;1;-0.8055555555555561
2020-01-01;Пензенская обл.;3;-1.3888888888888888
2020-01-01;Пермский край;5;-6.152777777777779
2020-01-01;Приморский край;7;-15.134259259259261
2020-01-01;Псковская обл.;6;-0.011111111111111271
2020-01-01;Ростовская обл.;2;2.04040404040404
2020-01-01;Рязанская обл.;1;-1.5666666666666669
2020-01-01;Самарская обл.;3;-1.5873015873015872
2020-01-01;Санкт-Петербург;6;0.6111111111111119
2020-01-01;Саратовская обл.;3;-0.6666666666666665
2020-01-01;Саха (Якутия);7;-34.93735224586289
2020-01-01;Сахалинская обл.;7;-13.722222222222223
2020-01-01;Свердловская обл.;5;-7.423611111111111
2020-01-01;Смоленская обл.;1;-1.0222222222222221
2020-01-01;Ставропольский край;2;3.349206349206349
2020-01-01;Тамбовская обл.;1;-0.5777777777777781
2020-01-01;Татарстан;3;-1.8703703703703707
2020-01-01;Тверская обл.;1;-2.177777777777778
2020-01-01;Томская обл.;4;-12.023809523809524
2020-01-01;Тульская обл.;1;-1.1388888888888888
2020-01-01;Тыва;4;-26.574074074074073
2020-01-01;Тюменская обл.;5;-6.3125
2020-01-01;Удмуртия;5;-4.037037037037037
2020-01-01;Ульяновская обл.;3;-1.3981481481481486
2020-01-01;ХМАО – Югра;5;-14.515873015873018
2020-01-01;Хабаровский край;7;-18.981481481481477
2020-01-01;Хакасия;4;-10.38888888888889
2020-01-01;Челябинская обл.;5;-3.8472222222222223
2020-01-01;Чувашия;3;-2.574074074074074
2020-01-01;Чукотский АО;7;-34.08024691358025
2020-01-01;Ямало-Ненецкий АО;5;-17.543859649122805
2020-01-01;Ярославская обл.;1;-3.122222222222222
2020-01-02;Адыгея;2;1.2777777777777761
2020-01-02;Алтай;4;-13.027777777777779
2020-01-02;Алтайский край;4;-3.138888888888889
2020-01-02;Амурская обл.;7;-18.36324786324786
2020-01-02;Архангельская обл.;6;-5.195286195286195
2020-01-02;Астраханская обл.;2;0.35185185185185164
2020-01-02;Башкортостан;5;-5.201388888888888
2020-01-02;Белгородская обл.;1;-2.4074074074074074
2020-01-02;Брянская обл.;1;-0.04166666666666677
2020-01-02;Бурятия;4;-22.312499999999996
2020-01-02;Владимирская обл.;1;-1.555555555555555
2020-01-02;Волгоградская обл.;2;-3.07936507936508
2020-01-02;Вологодская обл.;1;-0.706349206349206
2020-01-02;Воронежская обл.;1;-2.6250000000000004
2020-01-02;Дагестан;2;3.9888888888888885
2020-01-02;Еврейская АО;7;-14.833333333333334
2020-01-02;Забайкальский край;4;-27.43650793650794
2020-01-02;Ивановская обл.;1;-2.2777777777777777
2020-01-02;Иркутская обл.;4;-16.336601307189543
2020-01-02;Кабардино-Балкария;2;1.3333333333333326
2020-01-02;Калининградская обл.;6;3.2222222222222205
2020-01-02;Калмыкия;2;0.4814814814814808
2020-01-02;Калужская обл.;1;0.15277777777777846
2020-01-02;Камчатский край;7;-5.381944444444445
2020-01-02;Карачаево-Черкессия;2;-7.055555555555555
2020-01-02;Карелия;6;1.0
2020-01-02;Кемеровская обл.;4;-1.4444444444444442
2020-01-02;Кировская обл.;5;-7.541666666666666
2020-01-02;Коми;6;-9.245098039215685
2020-01-02;Костромская обл.;1;-4.425925925925925
2020-01-02;Краснодарский край;4;2.1597222222222223
2020-01-02;Красноярский край;7;-3.166666666666667
2020-01-02;Крым;2;1.3148148148148147
2020-01-02;Курганская обл.;5;-3.907407407407407
2020-01-02;Курская обл.;1;-2.1296296296296298
2020-01-02;Ленинградская обл.;6;2.490740740740741
2020-01-02;Липецкая обл.;1;-2.2222222222222223
2020-01-02;Магаданская обл.;7;-10.203703703703702
2020-01-02;Марий Эл;3;-6.000000000000001
2020-01-02;Мордовия;3;-4.370370370370371
2020-01-02;Москва;1;0.42592592592592543
2020-01-02;Московская обл.;1;0.18253968253968283
2020-01-02;Мурманская обл.;6;-5.325925925925926
2020-01-02;Ненецкий АО;6;-9.222222222222223
2020-01-02;Нижегородская обл.;3;-4.1913580246913575
2020-01-02;Новгородская обл.;6;3.375000000000001
2020-01-02;Новосибирская обл.;4;-0.9340277777777779
2020-01-02;Омская обл.;4;-2.0925925925925926
2020-01-02;Оренбургская обл.;5;-3.03968253968254
2020-01-02;Орловская обл.;1;-1.2222222222222219
2020-01-02;Пензенская обл.;3;-5.333333333333334
2020-01-02;Пермский край;5;-9.270833333333334
2020-01-02;Приморский край;7;-11.767676767676768
2020-01-02;Псковская обл.;6;3.6333333333333337
2020-01-02;Ростовская обл.;2;-0.4646464646464646
2020-01-02;Рязанская обл.;1;-1.7666666666666668
2020-01-02;Самарская обл.;3;-6.341269841269841
2020-01-02;Санкт-Петербург;6;3.7222222222222237
2020-01-02;Саратовская обл.;3;-6.5
2020-01-02;Саха (Якутия);7;-36.059178743961354
2020-01-02;Сахалинская обл.;7;-13.399999999999997
2020-01-02;Свердловская обл.;5;-10.090277777777779
2020-01-02;Смоленская обл.;1;0.9666666666666679
2020-01-02;Ставропольский край;2;1.7063492063492072
2020-01-02;Тамбовская обл.;1;-3.822222222222222
2020-01-02;Татарстан;3;-6.7407407407407405
2020-01-02;Тверская обл.;1;1.2388888888888892
2020-01-02;Томская обл.;4;-3.9829059829059825
2020-01-02;Тульская обл.;1;-0.916666666666667
2020-01-02;Тыва;4;-28.23148148148148
2020-01-02;Тюменская обл.;5;-5.7936507936507935
2020-01-02;Удмуртия;5;-8.055555555555555
2020-01-02;Ульяновская обл.;3;-5.685185185185184
2020-01-02;ХМАО – Югра;5;-15.222222222222223
2020-01-02;Хабаровский край;7;-17.22222222222222
2020-01-02;Хакасия;4;-3.958333333333333
2020-01-02;Челябинская обл.;5;-5.111111111111111
2020-01-02;Чувашия;3;-5.666666666666667
2020-01-02;Чукотский АО;7;-23.924242424242426
2020-01-02;Ямало-Ненецкий АО;5;-20.62037037037037
2020-01-02;Ярославская обл.;1;-0.02222222222222254
2020-01-03;Адыгея;2;1.0555555555555547
2020-01-03;Алтай;4;-17.25
2020-01-03;Алтайский край;4;-5.250000000000001
2020-01-03;Амурская обл.;7;-24.43162393162393
2020-01-03;Архангельская обл.;6;1.2413194444444446
2020-01-03;Астраханская обл.;2;-2.555555555555556
2020-01-03;Башкортостан;5;-9.756944444444445
2020-01-03;Белгородская обл.;1;-0.6111111111111113
2020-01-03;Брянская обл.;1;-0.2777777777777778
2020-01-03;Бурятия;4;-19.020833333333332
2020-01-03;Владимирская обл.;1;0.36111111111111227
2020-01-03;Волгоградская обл.;2;-1.1269841269841272
2020-01-03;Вологодская обл.;1;1.314814814814815
2020-01-03;Воронежская обл.;1;-0.16666666666666635
2020-01-03;Дагестан;2;2.4722222222222214
2020-01-03;Еврейская АО;7;-18.203703703703706
2020-01-03;Забайкальский край;4;-24.982905982905983
2020-01-03;Ивановская обл.;1;0.6666666666666663
2020-01-03;Иркутская обл.;4;-9.270833333333332
2020-01-03;Кабардино-Балкария;2;-0.8611111111111105
2020-01-03;Калининградская обл.;6;2.833333333333334
2020-01-03;Калмыкия;2;-1.8240740740740742
2020-01-03;Калужская обл.;1;0.04166666666666727
2020-01-03;Камчатский край;7;-4.547008547008547
2020-01-03;Карачаево-Черкессия;2;-9.0
2020-01-03;Карелия;6;2.9700854700854697
2020-01-03;Кемеровская обл.;4;-2.291666666666667
2020-01-03;Кировская обл.;5;-2.3541666666666665
2020-01-03;Коми;6;-4.281250000000001
2020-01-03;Костромская обл.;1;0.2500000000000009
2020-01-03;Краснодарский край;4;1.3125000000000009
2020-01-03;Красноярский край;7;-7.313725490196077
2020-01-03;Крым;2;3.222222222222222
2020-01-03;Курганская обл.;5;-12.24074074074074
2020-01-03;Курская обл.;1;-0.7777777777777782
2020-01-03;Ленинградская обл.;6;3.3287037037037037
2020-01-03;Липецкая обл.;1;-0.055555555555556344
2020-01-03;Магаданская обл.;7;-8.732323232323232
2020-01-03;Марий Эл;3;-1.2037037037037035
2020-01-03;Мордовия;3;-0.3888888888888899
2020-01-03;Москва;1;0.7222222222222232
2020-01-03;Московская обл.;1;0.674603174603174
2020-01-03;Мурманская обл.;6;1.2361111111111112
2020-01-03;Ненецкий АО;6;-2.8095238095238098
2020-01-03;Нижегородская обл.;3;0.0
2020-01-03;Новгородская обл.;6;2.4305555555555562
2020-01-03;Новосибирская обл.;4;-3.2256944444444446
2020-01-03;Омская обл.;4;-8.087301587301587
2020-01-03;Оренбургская обл.;5;-8.96031746031746
2020-01-03;Орловская обл.;1;-0.2500000000000006
2020-01-03;Пензенская обл.;3;-0.9888888888888887
2020-01-03;Пермский край;5;-7.256944444444445
2020-01-03;Приморский край;7;-12.06060606060606
2020-01-03;Псковская обл.;6;2.0222222222222217
2020-01-03;Ростовская обл.;2;-0.6565656565656566
2020-01-03;Рязанская обл.;1;0.13333333333333366
2020-01-03;Самарская обл.;3;-4.69047619047619
2020-01-03;Санкт-Петербург;6;4.500000000000001
2020-01-03;Саратовская обл.;3;-3.125
2020-01-03;Саха (Якутия);7;-35.56417624521073
2020-01-03;Сахалинская обл.;7;-15.127777777777776
2020-01-03;Свердловская обл.;5;-10.416666666666668
2020-01-03;Смоленская обл.;1;0.11111111111111152
2020-01-03;Ставропольский край;2;-2.055555555555555
2020-01-03;Тамбовская обл.;1;-0.05555555555555556
2020-01-03;Татарстан;3;-4.759259259259259
2020-01-03;Тверская обл.;1;1.2388888888888885
2020-01-03;Томская обл.;4;-4.08641975308642
2020-01-03;Тульская обл.;1;-0.2916666666666664
2020-01-03;Тыва;4;-30.51851851851852
2020-01-03;Тюменская обл.;5;-12.26388888888889
2020-01-03;Удмуртия;5;-5.833333333333333
2020-01-03;Ульяновская обл.;3;-2.2592592592592595
2020-01-03;ХМАО – Югра;5;-14.674242424242426
2020-01-03;Хабаровский край;7;-19.048148148148147
2020-01-03;Хакасия;4;-5.541666666666667
2020-01-03;Челябинская обл.;5;-10.458333333333332
2020-01-03;Чувашия;3;-1.0925925925925923
2020-01-03;Чукотский АО;7;-21.752525252525253
2020-01-03;Ямало-Ненецкий АО;5;-18.55263157894737
2020-01-03;Ярославская обл.;1;1.2666666666666664
2020-01-04;Адыгея;2;0.8888888888888897
2020-01-04;Алтай;4;-7.462962962962962
2020-01-04;Алтайский край;4;-5.090277777777778
2020-01-04;Амурская обл.;7;-25.630952380952383
2020-01-04;Архангельская обл.;6;-0.14409722222222215
2020-01-04;Астраханская обл.;2;-2.1296296296296293
2020-01-04;Башкортостан;5;-4.333333333333334
2020-01-04;Белгородская обл.;1;-0.49999999999999917
2020-01-04;Брянская обл.;1;-1.5555555555555562
2020-01-04;Бурятия;4;-16.76984126984127
2020-01-04;Владимирская обл.;1;-1.3333333333333326
2020-01-04;Волгоградская обл.;2;-0.05952380952380928
2020-01-04;Вологодская обл.;1;0.39506172839506143
2020-01-04;Воронежская обл.;1;0.6736111111111108
2020-01-04;Дагестан;2;4.866666666666665
2020-01-04;Еврейская АО;7;-18.796296296296294
2020-01-04;Забайкальский край;4;-23.353174603174605
2020-01-04;Ивановская обл.;1;-0.916666666666667
2020-01-04;Иркутская обл.;4;-10.285185185185185
2020-01-04;Кабардино-Балкария;2;-3.0
2020-01-04;Калининградская обл.;6;4.500000000000001
2020-01-04;Калмыкия;2;-0.055555555555555435
2020-01-04;Калужская обл.;1;-1.5694444444444442
2020-01-04;Камчатский край;7;-4.154761904761904
2020-01-04;Карачаево-Черкессия;2;-6.888888888888889
2020-01-04;Карелия;6;-0.863247863247863
2020-01-04;Кемеровская обл.;4;-5.736111111111111
2020-01-04;Кировская обл.;5;-0.6597222222222225
2020-01-04;Коми;6;-0.2679738562091503
2020-01-04;Костромская обл.;1;-0.49999999999999994
2020-01-04;Краснодарский край;4;1.6944444444444446
2020-01-04;Красноярский край;7;-7.370370370370374
2020-01-04;Крым;2;4.407407407407407
2020-01-04;Курганская обл.;5;-6.018518518518519
2020-01-04;Курская обл.;1;-1.888888888888889
2020-01-04;Ленинградская обл.;6;1.0555555555555551
2020-01-04;Липецкая обл.;1;-1.4722222222222214
2020-01-04;Магаданская обл.;7;-13.88888888888889
2020-01-04;Марий Эл;3;-1.2222222222222219
2020-01-04;Мордовия;3;-1.5370370370370363
2020-01-04;Москва;1;-0.7962962962962958
2020-01-04;Московская обл.;1;-1.0317460317460319
2020-01-04;Мурманская обл.;6;-2.809027777777778
2020-01-04;Ненецкий АО;6;-1.7555555555555553
2020-01-04;Нижегородская обл.;3;-1.179012345679012
2020-01-04;Новгородская обл.;6;1.291666666666666
2020-01-04;Новосибирская обл.;4;-6.357638888888889
2020-01-04;Омская обл.;4;-5.920634920634922
2020-01-04;Оренбургская обл.;5;-3.4841269841269837
2020-01-04;Орловская обл.;1;-1.416666666666666
2020-01-04;Пензенская обл.;3;-1.4000000000000001
2020-01-04;Пермский край;5;-1.826388888888889
2020-01-04;Приморский край;7;-12.194444444444443
2020-01-04;Псковская обл.;6;1.5111111111111104
2020-01-04;Ростовская обл.;2;0.08080808080808109
2020-01-04;Рязанская обл.;1;-1.5777777777777777
2020-01-04;Самарская обл.;3;-1.3174603174603177
2020-01-04;Санкт-Петербург;6;1.555555555555554
2020-01-04;Саратовская обл.;3;-0.8055555555555554
2020-01-04;Саха (Якутия);7;-34.026709401709404
2020-01-04;Сахалинская обл.;7;-12.598765432098766
2020-01-04;Свердловская обл.;5;-2.6874999999999996
2020-01-04;Смоленская обл.;1;-1.2555555555555553
2020-01-04;Ставропольский край;2;-2.746031746031746
2020-01-04;Тамбовская обл.;1;-0.6666666666666666
2020-01-04;Татарстан;3;-1.6358024691358022
2020-01-04;Тверская обл.;1;-0.21666666666666662
2020-01-04;Томская обл.;4;-7.567460317460319
2020-01-04;Тульская обл.;1;-1.611111111111111
2020-01-04;Тыва;4;-29.38095238095238
2020-01-04;Тюменская обл.;5;-5.784722222222221
