DATE;REGION;AREA;TEMP
2019-01-01;Адыгея;2;0.9999999999999984
2019-01-01;Алтай;4;-19.0
2019-01-01;Алтайский край;4;-19.96527777777778
2019-01-01;Амурская обл.;7;-20.33838383838384
2019-01-01;Архангельская обл.;6;-6.983164983164985
2019-01-01;Астраханская обл.;2;-1.268518518518518
2019-01-01;Башкортостан;5;-16.493055555555554
2019-01-01;Белгородская обл.;1;-6.925925925925925
2019-01-01;Брянская обл.;1;-3.3472222222222223
2019-01-01;Бурятия;4;-30.803030303030308
2019-01-01;Владимирская обл.;1;-8.166666666666668
2019-01-01;Волгоградская обл.;2;-7.799145299145298
2019-01-01;Вологодская обл.;1;-5.993827160493828
2019-01-01;Воронежская обл.;1;-7.368055555555555
2019-01-01;Дагестан;2;3.677777777777777
2019-01-01;Еврейская АО;7;-18.833333333333332
2019-01-01;Забайкальский край;4;-30.059829059829056
2019-01-01;Ивановская обл.;1;-7.0
2019-01-01;Иркутская обл.;4;-31.005050505050505
2019-01-01;Кабардино-Балкария;2;1.722222222222221
2019-01-01;Калининградская обл.;6;5.38888888888889
2019-01-01;Калмыкия;2;-0.9722222222222228
2019-01-01;Калужская обл.;1;-3.8750000000000004
2019-01-01;Камчатский край;7;-18.73888888888889
2019-01-01;Карачаево-Черкессия;2;-7.333333333333332
2019-01-01;Карелия;6;-2.7592592592592595
2019-01-01;Кемеровская обл.;4;-15.23611111111111
2019-01-01;Кировская обл.;5;-8.340277777777779
2019-01-01;Коми;6;-9.219135802469134
2019-01-01;Костромская обл.;1;-6.537037037037035
2019-01-01;Краснодарский край;4;1.1597222222222223
2019-01-01;Красноярский край;7;-18.889917695473248
2019-01-01;Крым;2;0.8703703703703697
2019-01-01;Курганская обл.;5;-22.75
2019-01-01;Курская обл.;1;-5.833333333333333
2019-01-01;Ленинградская обл.;6;-1.5404040404040402
2019-01-01;Липецкая обл.;1;-7.361111111111111
2019-01-01;Магаданская обл.;7;-35.91666666666667
2019-01-01;Марий Эл;3;-8.851851851851853
2019-01-01;Мордовия;3;-10.24074074074074
2019-01-01;Москва;1;-3.9629629629629632
2019-01-01;Московская обл.;1;-4.738095238095239
2019-01-01;Мурманская обл.;6;-5.888888888888888
2019-01-01;Ненецкий АО;6;-7.161111111111113
2019-01-01;Нижегородская обл.;3;-8.17283950617284
2019-01-01;Новгородская обл.;6;-1.097222222222222
2019-01-01;Новосибирская обл.;4;-20.11111111111111
2019-01-01;Омская обл.;4;-19.73015873015873
2019-01-01;Оренбургская обл.;5;-14.092592592592593
2019-01-01;Орловская обл.;1;-5.833333333333334
2019-01-01;Пензенская обл.;3;-11.133333333333331
2019-01-01;Пермский край;5;-10.645833333333334
2019-01-01;Приморский край;7;-11.46581196581197
2019-01-01;Псковская обл.;6;-0.6111111111111112
2019-01-01;Ростовская обл.;2;-2.6060606060606055
2019-01-01;Рязанская обл.;1;-8.477777777777778
2019-01-01;Самарская обл.;3;-16.22222222222222
2019-01-01;Санкт-Петербург;6;-0.8333333333333334
2019-01-01;Саратовская обл.;3;-11.5
2019-01-01;Саха (Якутия);7;-23.068783068783063
2019-01-01;Сахалинская обл.;7;-12.537037037037038
2019-01-01;Свердловская обл.;5;-13.534722222222221
2019-01-01;Северная Осетия;2;-2.000000000000001
2019-01-01;Смоленская обл.;1;-2.0444444444444447
2019-01-01;Ставропольский край;2;0.880952380952381
